Component/s|Issue Type|Summary|Issue key|Issue id|Status|Custom field (Epic Link)|Custom field (Epic Name)
Backend |Task|Implement GET /admin/security-groups|DMP-1251|746853|Test Review|DMP-629|
Backend |Task|Implement GET /admin/users/{user_id}|DMP-1253|746858|Done|DMP-629|
Backend |Task|Implement GET /admin/users|DMP-1374|750391|Done|DMP-629|
Backend |Task|Implement GET /admin/security-roles|DMP-1994|771217|Done|DMP-629|
Backend |Task|Update PATCH /admin/users/{id}|DMP-1995|771222|Sign off|DMP-629|
Frontend|Task|(Dev only) Create filters component|DMP-2067|774322|Done|DMP-629|
Backend |Task|(Dev Only) Cleanup ATS redundant Endpoints|DMP-1833|766553|Done|DMP-12|
Backend |Task|API - create new GET /audios/{media_id}/preview endpoint to use Server-Sent events|DMP-2049|774011|Review|DMP-12|
Frontend|Task|Additional status to be shown on Your audio screen|DMP-2125|776486|Ready for Test|DMP-12|
Backend |Bug|"Bug for AC2 of MDP-1856: Once the automated job runs, the 'last_modified_by' field in transformed_media table is not updated with System housekeeping id. "|DMP-2175|778039|Done|DMP-12|
Frontend|Task|Use POST case search endpoint on DARTS portal|DMP-1803|765641|Sign off|DMP-8|
Backend |Task|(Dev Only) Remove endpoint GET /cases/search|DMP-1804|765642|Done|DMP-8|
Backend |Task|Handle daily list courthouse name data model changes|DMP-1788|765318|Done|DMP-521|
Backend |Bug|Daily list processing does not handle string courtrooms|DMP-2042|773396|Awaiting Fix|DMP-521|
Backend |Bug|Gateway issue while processing Daily list|DMP-2150|776859|Ready for Test|DMP-521|
Frontend|Task|Upgrade to GOVUK Frontend v5|DMP-1821|766341|QA Testing|DMP-14|
Frontend|Bug|UI Bug: sort order & current page reset on data table polling|DMP-1924|769742|Review|DMP-14|
Frontend|Task|(Dev only) Ignore API errors on notification count requests|DMP-2051|773796|Done|DMP-14|
Frontend|Task|"Amend ""Court"" to ""Courthouse"""|DMP-2165|777386|QA Testing|DMP-14|
Backend |Story|Mark audios to be deleted from Outbound data store [Task Automation]|DMP-593|722396|Awaiting Fix|DMP-17|
Backend |Task|Mark audios to be deleted from Outbound data store [Task Automation]|DMP-1856|767339|QA Testing|DMP-17|
Backend |Task|"(Dev only) Remove ""reporting_restriction"" string property from GET case endpoint"|DMP-1729|764161|Done|DMP-7|
Backend |Story|Event handler for Receive Sentencing Remarks and Retention Policy to send automatic transcript |DMP-1758|764805|QA Testing|DMP-7|
Frontend|Task|ENHANCEMENT - Update other hearing related screens with updated restriction view|DMP-1799|765553|Awaiting Fix|DMP-7|
Backend |Task|Populate is_log_entry field for events received from mid tier|DMP-2069|774382|QA Testing|DMP-7|
Backend |Task|Make DARTS portal URL dynamic in notifications|DMP-1686|763134|Done|DMP-22|
Frontend|Story|"Add Retained until date and ""view or change"" link to case file screen"|DMP-1369|750360|Ready for Test|DMP-16|
Frontend|Story|"Case Retention Date - Case Details, Current retention details, audit history"|DMP-1406|751191|Ready for Test|DMP-16|
Frontend|Story|Change retention date screen|DMP-1413|751758|Ready for Test|DMP-16|
Frontend|Story|Check your retention date change screen|DMP-1437|752799|Ready for Test|DMP-16|
Frontend|Story|Confirmation of retention date change screen|DMP-1439|753505|Ready for Test|DMP-16|
Frontend|Story|Retention errors|DMP-1450|753551|QA Testing|DMP-16|
Backend |Task|Add retention fields to get case endpoint|DMP-1816|765986|Done|DMP-16|
Backend |Task|Case retention history endpoint|DMP-1817|765988|QA Testing|DMP-16|
Backend |Task|Apply retention changes endpoint|DMP-1818|765995|QA Testing|DMP-16|
Backend |Task|Populate retention policy reference data into database|DMP-2032|773325|Done|DMP-16|
Backend |Task|Version 7 of the retention data model|DMP-2076|774495|Done|DMP-16|
Backend |Task|(Dev only) V7 Retention data model changes|DMP-2098|775435|Done|DMP-16|
Backend |Task|V7 of the Retention data model |DMP-2158|777078|Done|DMP-16|
Backend |Bug|Apply retention changes endpoint - Decrease retention period unhappy path return error code 400|DMP-2167|777597|Done|DMP-16|
Backend |Task|(Dev Only) Local Database Import from Staging|DMP-1549|757073|Done|DMP-33|
Backend |Task|(Dev only): Migration script for missing v46 changes |DMP-2017|771940|Done|DMP-33|
Frontend|Task|(Dev only) DARTS Portal - view transcript component refactor|DMP-2034|773336|Done|DMP-33|
Frontend|Task|(Dev only) DARTS Portal - map all dates to Luxon DateTime at service level|DMP-2037|773361|Done|DMP-33|
Backend |Task|(Dev only) V59 and 60 Data model - Retention and Security model|DMP-2063|774192|Done|DMP-33|
Backend |Task|(Dev only) V59 and v60 Data model - annotation|DMP-2072|774502|Done|DMP-33|
Backend |Task|(Dev only) V59 and v60 Data model - case_document case_overflow|DMP-2073|774503|Done|DMP-33|
Backend |Task|(Dev only) V59 and v60 Data model - user_account|DMP-2075|774506|Done|DMP-33|
Frontend|Task|Accessibility (Manual) - 'Completed today' tab - screen reader issue|DMP-1810|765867|Done|DMP-13|
Backend |Task|Change the download Transcript logic to download the data from latest storage type|DMP-1908|769616|Sign off|DMP-13|
Frontend|Bug|DMP-1799 - Restriction banner not appearing when Viewing Transcript via Your transcript  or via hearing details screen |DMP-2080|774688|Done|DMP-13|
